datetime,open,high,low,close,volume
2026-04-08 00:00:00,4813.535,4826.805,4808.615,4817.335,15
2026-04-08 01:00:00,4817.375,4824.958,4787.965,4809.905,60
2026-04-08 02:00:00,4809.808,4825.165,4798.455,4803.695,60
2026-04-08 03:00:00,4803.675,4805.625,4794.725,4797.215,60
2026-04-08 04:00:00,4797.295,4806.475,4789.985,4803.345,60
2026-04-08 05:00:00,4803.305,4843.505,4800.135,4827.275,60
2026-04-08 06:00:00,4827.235,4839.575,4819.645,4819.695,60
2026-04-08 07:00:00,4819.675,4821.105,4804.925,4813.045,60
2026-04-08 08:00:00,4813.355,4819.555,4790.145,4793.585,60
2026-04-08 09:00:00,4793.615,4806.405,4775.728,4782.798,60
2026-04-08 10:00:00,4782.838,4795.805,4770.885,4782.298,60
2026-04-08 11:00:00,4782.298,4802.655,4777.865,4798.138,60
2026-04-08 12:00:00,4798.085,4807.005,4768.128,4799.325,60
2026-04-08 13:00:00,4799.295,4806.405,4767.945,4777.295,60
2026-04-08 14:00:00,4777.168,4791.565,4731.905,4735.845,60
2026-04-08 15:00:00,4735.905,4762.865,4733.855,4756.205,60
2026-04-08 16:00:00,4756.175,4765.298,4745.005,4760.098,60
2026-04-08 17:00:00,4760.098,4764.115,4731.288,4733.745,60
2026-04-08 18:00:00,4733.525,4744.335,4703.635,4705.105,60
2026-04-08 19:00:00,4704.825,4731.698,4699.235,4730.465,60
2026-04-08 20:00:00,4730.298,4731.975,4715.735,4715.835,60
2026-04-08 22:00:00,4718.098,4732.525,4704.075,4717.085,60
2026-04-08 23:00:00,4715.715,4719.795,4704.998,4715.215,60
2026-04-09 00:00:00,4715.375,4718.885,4698.085,4706.515,60
2026-04-09 01:00:00,4706.365,4728.125,4699.178,4727.155,60
2026-04-09 02:00:00,4727.235,4732.595,4717.075,4718.825,60
2026-04-09 03:00:00,4718.775,4720.065,4704.898,4711.165,60
2026-04-09 04:00:00,4711.185,4725.038,4709.435,4720.505,60
2026-04-09 05:00:00,4720.545,4726.375,4705.515,4712.705,60
2026-04-09 06:00:00,4712.725,4724.995,4703.185,4712.125,60
2026-04-09 07:00:00,4712.245,4730.995,4705.335,4724.065,60
2026-04-09 08:00:00,4724.005,4733.095,4719.428,4726.025,60
2026-04-09 09:00:00,4726.055,4733.375,4722.685,4728.938,60
2026-04-09 10:00:00,4728.918,4746.445,4723.485,4740.838,60
2026-04-09 11:00:00,4740.798,4757.465,4738.185,4756.335,60
2026-04-09 12:00:00,4756.615,4759.385,4734.695,4745.665,60
2026-04-09 13:00:00,4745.745,4777.015,4738.505,4764.048,60
2026-04-09 14:00:00,4764.048,4775.935,4747.075,4768.545,60
2026-04-09 15:00:00,4768.575,4797.855,4760.948,4792.515,60
2026-04-09 16:00:00,4792.738,4800.695,4784.195,4788.595,60
2026-04-09 17:00:00,4788.645,4801.015,4786.485,4797.525,60
2026-04-09 18:00:00,4797.625,4797.765,4767.498,4771.785,60
2026-04-09 19:00:00,4771.755,4782.385,4766.675,4768.665,60
2026-04-09 20:00:00,4768.855,4773.135,4760.505,4763.345,60
2026-04-09 22:00:00,4766.498,4779.285,4758.375,4763.838,60
