detected_at,timeframe,zone_type,zone_top,zone_bottom,zone_height,atr_at_detection,close_at_detection,trend_1h,strength_1h,trend_5m,strength_5m,zone_5m_nearby,level_1h_nearby,confluence_score,result,move_favor,move_against,move_pips
2025-03-21T14:30:00+01:00,15m,supply,3041.09,3026.64,14.45,12.68,3007.59,,,bearish,0.227,False,True,1,broke,8.0,39.91,-39.91
2025-03-21T14:45:00+01:00,15m,supply,3041.09,3026.64,14.45,12.71,3019.2,,,bullish,0.992,False,True,1,broke,19.61,28.3,-28.3
2025-03-21T15:15:00+01:00,15m,demand,3024.49,3008.19,16.3,13.68,3027.39,,,bullish,0.019,False,True,1,broke,20.11,27.8,-27.8
2025-03-21T17:45:00+01:00,15m,demand,3026.14,3013.67,12.46,11.37,3047.5,,,bearish,0.136,False,True,1,broke,0.0,47.91,-47.91
2025-03-21T18:00:00+01:00,15m,supply,3026.14,3013.67,12.46,12.53,3003.07,bearish,0.3,bearish,0.157,True,True,3,broke,3.48,27.94,-27.94
2025-03-23T17:15:00+01:00,15m,demand,3023.0,3021.39,1.61,1.39,3023.02,,,bullish,0.05,False,True,1,broke,2.88,3.2,-3.2
2025-03-23T17:45:00+01:00,15m,demand,3023.0,3021.39,1.61,1.43,3024.19,,,bearish,0.063,False,True,1,broke,1.72,4.37,-4.37
2025-03-23T18:30:00+01:00,15m,demand,3023.5,3021.9,1.59,1.52,3025.06,,,bullish,0.075,True,True,2,broke,0.85,5.24,-5.24
2025-03-23T18:45:00+01:00,15m,demand,3023.5,3021.9,1.59,1.61,3023.66,,,bearish,0.03,True,True,2,broke,2.24,3.84,-3.84
2025-03-24T13:30:00+01:00,15m,supply,3027.55,3018.03,9.52,7.95,3015.18,,,bearish,0.395,True,True,2,respected,12.64,10.45,12.64
2025-03-24T14:30:00+01:00,15m,supply,3027.55,3018.03,9.52,8.49,3002.54,,,bullish,0.367,True,True,2,respected,0.0,17.76,0.0
2025-03-24T16:15:00+01:00,15m,supply,3027.55,3018.03,9.52,8.73,3007.17,,,bullish,0.278,False,True,1,respected,4.63,13.06,4.63
2025-03-24T16:30:00+01:00,15m,supply,3027.55,3018.03,9.52,8.49,3012.45,,,bearish,0.197,False,True,1,respected,9.91,7.78,9.91
2025-03-24T17:15:00+01:00,15m,supply,3027.55,3018.03,9.52,8.76,3002.54,,,bullish,0.544,False,True,1,respected,0.0,17.69,0.0
2025-03-24T17:30:00+01:00,15m,supply,3027.55,3018.03,9.52,8.05,3002.54,,,bullish,0.613,False,True,1,respected,0.0,17.69,0.0
2025-03-24T18:45:00+01:00,15m,supply,3027.55,3018.03,9.52,8.46,3006.45,,,bearish,0.083,False,True,1,respected,0.84,11.35,0.84
2025-03-26T13:00:00+01:00,15m,demand,3021.61,3014.62,6.99,5.9,3032.11,bullish,0.419,bearish,0.225,False,True,2,broke,0.0,19.66,-19.66
2025-03-26T16:45:00+01:00,15m,demand,3022.01,3017.04,4.97,5.21,3029.52,,,bullish,0.069,False,True,1,broke,0.22,17.07,-17.07
2025-03-27T13:45:00+01:00,15m,demand,3046.43,3035.73,10.7,9.86,3055.61,,,bullish,0.089,False,True,1,broke,4.16,21.85,-21.85
2025-03-27T14:00:00+01:00,15m,demand,3033.44,3022.33,11.11,10.49,3041.87,bullish,0.321,bearish,0.003,False,False,1,respected,17.9,8.1,17.9
2025-03-27T14:15:00+01:00,15m,demand,3033.44,3022.33,11.11,11.34,3054.09,,,bullish,0.391,False,False,0,respected,5.68,20.33,5.68
2025-03-27T14:30:00+01:00,15m,demand,3033.44,3022.33,11.11,11.44,3046.76,,,bearish,0.471,False,False,0,respected,13.01,13.0,13.01
2025-03-27T14:45:00+01:00,15m,demand,3033.44,3022.33,11.11,10.83,3048.0,,,bullish,0.153,False,False,0,respected,11.77,14.23,11.77
2025-03-27T15:00:00+01:00,15m,demand,3033.44,3022.33,11.11,11.34,3034.09,bullish,0.645,bullish,0.665,False,False,1,respected,25.68,0.28,25.68
2025-03-27T15:15:00+01:00,15m,demand,3033.44,3022.33,11.11,12.38,3052.2,,,bearish,0.292,False,False,0,respected,7.57,15.87,7.57
2025-03-27T15:30:00+01:00,15m,demand,3033.44,3022.33,11.11,12.33,3042.59,,,bullish,0.053,False,False,0,respected,17.18,6.26,17.18
2025-03-27T15:45:00+01:00,15m,demand,3033.44,3022.33,11.11,12.68,3052.13,,,bullish,0.009,False,False,0,respected,7.64,15.8,7.64
2025-03-27T17:45:00+01:00,15m,demand,3046.43,3035.73,10.7,9.77,3059.26,,,bearish,0.02,False,True,1,respected,0.51,21.73,0.51
2025-03-27T18:00:00+01:00,15m,demand,3046.43,3035.73,10.7,9.58,3055.53,bearish,0.312,bearish,0.011,False,True,1,respected,4.24,18.0,4.24
2025-03-28T14:30:00+01:00,15m,demand,3066.53,3058.97,7.57,8.51,3075.92,,,bearish,0.671,False,False,0,broke,10.81,20.8,-20.8
2025-03-28T14:45:00+01:00,15m,demand,3066.53,3058.97,7.57,6.83,3075.73,,,bullish,0.035,False,False,0,broke,10.99,20.61,-20.61
2025-03-28T15:00:00+01:00,15m,demand,3066.53,3058.97,7.57,6.77,3072.43,bullish,0.019,bullish,0.326,False,False,1,broke,14.29,17.31,-17.31
2025-03-28T15:30:00+01:00,15m,demand,3066.53,3058.97,7.57,7.6,3078.23,,,bearish,0.086,False,False,0,broke,8.5,23.11,-23.11
2025-03-28T15:45:00+01:00,15m,supply,3077.36,3069.1,8.26,7.94,3055.12,,,bullish,0.014,False,False,0,broke,0.0,31.61,-31.61
2025-03-28T16:00:00+01:00,15m,supply,3077.36,3069.1,8.26,7.5,3055.12,bearish,0.071,bullish,0.22,False,False,1,broke,0.0,31.61,-31.61
2025-03-28T16:15:00+01:00,15m,demand,3066.53,3058.97,7.57,8.05,3079.47,,,bullish,0.063,False,False,0,respected,7.26,12.13,7.26
2025-03-28T16:30:00+01:00,15m,demand,3066.53,3058.97,7.57,8.45,3068.05,,,bearish,0.08,False,False,0,respected,18.68,0.72,18.68
2025-03-28T17:30:00+01:00,15m,demand,3066.53,3058.97,7.57,8.13,3080.18,,,bullish,0.114,False,False,0,respected,6.72,10.07,6.72
2025-03-28T17:45:00+01:00,15m,demand,3066.53,3058.97,7.57,7.87,3078.36,,,bearish,0.177,False,False,0,respected,8.54,8.25,8.54
2025-03-28T18:00:00+01:00,15m,demand,3066.53,3058.97,7.57,8.07,3082.2,bullish,0.221,bullish,0.019,False,False,1,respected,4.7,12.09,4.7
2025-03-28T18:15:00+01:00,15m,demand,3066.53,3058.97,7.57,8.23,3078.97,,,bullish,0.047,False,False,0,respected,7.93,8.86,7.93
2025-03-28T18:30:00+01:00,15m,demand,3066.53,3058.97,7.57,8.02,3078.27,,,bearish,0.142,False,False,0,respected,8.63,8.16,8.63
2025-03-28T18:45:00+01:00,15m,demand,3066.53,3058.97,7.57,8.14,3083.08,,,bullish,0.137,False,False,0,respected,3.82,12.96,3.82
2025-03-30T13:00:00+02:00,15m,demand,3092.52,3089.49,3.03,3.57,3092.69,bullish,0.172,bullish,0.057,False,True,2,broke,4.12,6.01,-6.01
2025-03-30T13:45:00+02:00,15m,demand,3092.05,3088.51,3.54,3.43,3095.41,,,bullish,0.095,True,True,2,broke,1.4,8.72,-8.72
2025-03-30T16:00:00+02:00,15m,demand,3092.52,3089.49,3.03,3.51,3096.36,bearish,0.226,bullish,0.006,True,True,2,broke,1.51,9.67,-9.67
2025-03-30T16:15:00+02:00,15m,demand,3092.52,3089.49,3.03,2.98,3092.72,,,bullish,0.187,True,False,1,broke,5.15,6.03,-6.03
2025-03-31T14:15:00+02:00,15m,demand,3102.57,3091.72,10.85,10.77,3120.8,,,bullish,0.019,False,True,1,broke,3.03,43.81,-43.81
2025-03-31T14:30:00+02:00,15m,demand,3102.57,3091.72,10.85,11.13,3112.55,,,bullish,0.58,False,True,1,broke,10.91,35.56,-35.56
2025-03-31T14:45:00+02:00,15m,demand,3102.57,3091.72,10.85,9.83,3112.52,,,bullish,0.088,False,True,1,broke,11.67,35.53,-35.53
